bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,6.913630815558634e-08
AL1 0,H2 Fuel Cell,5.029902008691875e-09
AL1 0,H2 turbine,1.9148688279201725e-08
AL1 0,photocatalysis,1.221148364197643e-08
AT1 0,H2 Electrolysis,2.4796158276674534e-08
AT1 0,H2 Fuel Cell,5.766421419573629e-09
AT1 0,H2 turbine,2.1985057483102885e-08
AT1 0,photocatalysis,5.726524820587287e-09
AT1 1,H2 Electrolysis,8.943480817375017e-08
AT1 1,H2 Fuel Cell,5.50181297682828e-09
AT1 1,H2 turbine,2.1062104914219343e-08
AT1 1,photocatalysis,5.559280634477091e-09
AT1 2,H2 Electrolysis,2.6052287419804973e-08
AT1 2,H2 Fuel Cell,5.783148614306517e-09
AT1 2,H2 turbine,2.1890986168130686e-08
AT1 2,photocatalysis,5.63494834645909e-09
BA1 0,H2 Electrolysis,4.313126174931154e-08
BA1 0,H2 Fuel Cell,5.2568014181632045e-09
BA1 0,H2 turbine,1.9167058216852803e-08
BA1 0,photocatalysis,7.849960724179836e-09
BE1 0,H2 Electrolysis,0.01735496773121356
BE1 0,H2 Fuel Cell,5.4962630384031325e-09
BE1 0,H2 turbine,2.7957947693733067e-08
BE1 0,photocatalysis,5.022813996269048e-09
BE1 1,H2 Electrolysis,0.021085984864024295
BE1 1,H2 Fuel Cell,5.631571325582584e-09
BE1 1,H2 turbine,2.6980124209396256e-08
BE1 1,photocatalysis,4.868285650318984e-09
BE1 2,H2 Electrolysis,2.790662327641512e-07
BE1 2,H2 Fuel Cell,5.882354970472492e-09
BE1 2,H2 turbine,3.401943700331307e-08
BE1 2,photocatalysis,5.021474684393707e-09
BE1 3,H2 Electrolysis,0.00489700679993446
BE1 3,H2 Fuel Cell,5.7212335594757555e-09
BE1 3,H2 turbine,2.9888382965821634e-08
BE1 3,photocatalysis,4.958414082259304e-09
BG1 0,H2 Electrolysis,8.082137260739878e-07
BG1 0,H2 Fuel Cell,5.0180541197712236e-09
BG1 0,H2 turbine,1.9927681538110614e-08
BG1 0,photocatalysis,1.0492192161738967e-08
CH1 0,H2 Electrolysis,4.582051907783842e-08
CH1 0,H2 Fuel Cell,5.31127442535735e-09
CH1 0,H2 turbine,1.9204462934663177e-08
CH1 0,photocatalysis,5.787690230910989e-09
CH1 1,H2 Electrolysis,3.126000339858737e-08
CH1 1,H2 Fuel Cell,5.249103164610444e-09
CH1 1,H2 turbine,1.9174901920571894e-08
CH1 1,photocatalysis,6.293119289947045e-09
CZ1 0,H2 Electrolysis,1.9626535975586894e-08
CZ1 0,H2 Fuel Cell,6.326889738225935e-09
CZ1 0,H2 turbine,2.5205390878533734e-08
CZ1 0,photocatalysis,5.013105190514468e-09
CZ1 1,H2 Electrolysis,2.6125626967192007e-08
CZ1 1,H2 Fuel Cell,6.170030955803785e-09
CZ1 1,H2 turbine,2.4722141604784668e-08
CZ1 1,photocatalysis,4.986982739976632e-09
CZ1 2,H2 Electrolysis,1.7549565976608473e-08
CZ1 2,H2 Fuel Cell,6.4763907749110595e-09
CZ1 2,H2 turbine,2.5572143519712495e-08
CZ1 2,photocatalysis,5.079736978507143e-09
DE1 0,H2 Electrolysis,2.428715699177075e-08
DE1 0,H2 Fuel Cell,5.861866381737674e-09
DE1 0,H2 turbine,2.7525173775104308e-08
DE1 0,photocatalysis,5.210714242744213e-09
DE1 1,H2 Electrolysis,4.028095182335997e-08
DE1 1,H2 Fuel Cell,5.828737064825509e-09
DE1 1,H2 turbine,2.646200505659375e-08
DE1 1,photocatalysis,4.835835025422505e-09
DE1 10,H2 Electrolysis,2.4500211374333908e-08
DE1 10,H2 Fuel Cell,6.282545422355291e-09
DE1 10,H2 turbine,2.7950565839483392e-08
DE1 10,photocatalysis,4.880384189722185e-09
DE1 11,H2 Electrolysis,3.1228923999321715e-08
DE1 11,H2 Fuel Cell,5.741490012895353e-09
DE1 11,H2 turbine,2.7272618253962497e-08
DE1 11,photocatalysis,4.6959720930081456e-09
DE1 12,H2 Electrolysis,0.11793155836019925
DE1 12,H2 Fuel Cell,5.680247945115783e-09
DE1 12,H2 turbine,2.6604316961193493e-08
DE1 12,photocatalysis,4.600123616831188e-09
DE1 13,H2 Electrolysis,2.6654566499603544e-08
DE1 13,H2 Fuel Cell,5.773913607808538e-09
DE1 13,H2 turbine,2.5251971010038483e-08
DE1 13,photocatalysis,5.4434745585511204e-09
DE1 14,H2 Electrolysis,2.0569969096214908e-08
DE1 14,H2 Fuel Cell,5.800461393135843e-09
DE1 14,H2 turbine,2.596753747048812e-08
DE1 14,photocatalysis,5.446173549080986e-09
DE1 15,H2 Electrolysis,2.021820685836109e-08
DE1 15,H2 Fuel Cell,5.895392336925139e-09
DE1 15,H2 turbine,2.6313873840766183e-08
DE1 15,photocatalysis,4.898177334835037e-09
DE1 16,H2 Electrolysis,3.0476247707254065e-08
DE1 16,H2 Fuel Cell,5.7423651275480575e-09
DE1 16,H2 turbine,2.6348721110769705e-08
DE1 16,photocatalysis,5.158889252694724e-09
DE1 17,H2 Electrolysis,8.55464568901581e-08
DE1 17,H2 Fuel Cell,5.733710487679847e-09
DE1 17,H2 turbine,2.3801060875318145e-08
DE1 17,photocatalysis,5.610290325559817e-09
DE1 18,H2 Electrolysis,2.4432432217687708e-08
DE1 18,H2 Fuel Cell,5.88165717401051e-09
DE1 18,H2 turbine,2.5036815947499765e-08
DE1 18,photocatalysis,5.1444511232103136e-09
DE1 19,H2 Electrolysis,3.651723268578231e-08
DE1 19,H2 Fuel Cell,5.904816368232403e-09
DE1 19,H2 turbine,2.6575034734323513e-08
DE1 19,photocatalysis,4.712564961519833e-09
DE1 2,H2 Electrolysis,2.439578793692487e-08
DE1 2,H2 Fuel Cell,5.773336694428772e-09
