bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,5.5020986651593074e-08
AL1 0,H2 Fuel Cell,3.579208231271907e-09
AL1 0,H2 turbine,1.231701250743099e-08
AL1 0,photocatalysis,9.388750837023051e-09
AT1 0,H2 Electrolysis,1.646553972613942e-08
AT1 0,H2 Fuel Cell,3.754953407032861e-09
AT1 0,H2 turbine,1.2327268380925033e-08
AT1 0,photocatalysis,4.767865366047468e-09
AT1 1,H2 Electrolysis,4.585079718397467e-08
AT1 1,H2 Fuel Cell,3.5743553219832547e-09
AT1 1,H2 turbine,1.2283568818733064e-08
AT1 1,photocatalysis,4.8442874760045534e-09
AT1 2,H2 Electrolysis,1.634108409428454e-08
AT1 2,H2 Fuel Cell,3.7778623214160145e-09
AT1 2,H2 turbine,1.2323255076991428e-08
AT1 2,photocatalysis,4.805082361790712e-09
BA1 0,H2 Electrolysis,2.0732522775387907e-08
BA1 0,H2 Fuel Cell,3.654266563195743e-09
BA1 0,H2 turbine,1.231934768717301e-08
BA1 0,photocatalysis,6.424623748806413e-09
BE1 0,H2 Electrolysis,0.013046547046714011
BE1 0,H2 Fuel Cell,3.3861904149907076e-09
BE1 0,H2 turbine,1.2296431539365362e-08
BE1 0,photocatalysis,4.376822344576716e-09
BE1 1,H2 Electrolysis,0.009492598171597267
BE1 1,H2 Fuel Cell,3.4557140957472563e-09
BE1 1,H2 turbine,1.2307821494415582e-08
BE1 1,photocatalysis,4.2728884007635e-09
BE1 2,H2 Electrolysis,8.346399729220785e-08
BE1 2,H2 Fuel Cell,3.4844488999781984e-09
BE1 2,H2 turbine,1.2259938481110253e-08
BE1 2,photocatalysis,4.370949350793638e-09
BE1 3,H2 Electrolysis,1.8959493297443463e-07
BE1 3,H2 Fuel Cell,3.458542092117028e-09
BE1 3,H2 turbine,1.2270419904522062e-08
BE1 3,photocatalysis,4.341714358454847e-09
BG1 0,H2 Electrolysis,9.101683052937412e-07
BG1 0,H2 Fuel Cell,3.672277286478588e-09
BG1 0,H2 turbine,1.3115509712336107e-08
BG1 0,photocatalysis,8.760760429109552e-09
CH1 0,H2 Electrolysis,4.8086929149066344e-08
CH1 0,H2 Fuel Cell,3.5993371734247388e-09
CH1 0,H2 turbine,1.2299182144214713e-08
CH1 0,photocatalysis,4.886693576743771e-09
CH1 1,H2 Electrolysis,2.336020081687005e-08
CH1 1,H2 Fuel Cell,3.5683967702257013e-09
CH1 1,H2 turbine,1.2302482683254003e-08
CH1 1,photocatalysis,5.3199388308177405e-09
CZ1 0,H2 Electrolysis,1.4110594381842176e-08
CZ1 0,H2 Fuel Cell,3.813087698401703e-09
CZ1 0,H2 turbine,1.2333577181992874e-08
CZ1 0,photocatalysis,4.178262168534093e-09
CZ1 1,H2 Electrolysis,1.9129561055944447e-08
CZ1 1,H2 Fuel Cell,3.782472169598566e-09
CZ1 1,H2 turbine,1.2330567982459252e-08
CZ1 1,photocatalysis,4.234395617788154e-09
CZ1 2,H2 Electrolysis,1.2077109510527632e-08
CZ1 2,H2 Fuel Cell,3.86757394552016e-09
CZ1 2,H2 turbine,1.2346997508143491e-08
CZ1 2,photocatalysis,4.220590387021265e-09
DE1 0,H2 Electrolysis,1.3091485971986533e-08
DE1 0,H2 Fuel Cell,3.637253489102256e-09
DE1 0,H2 turbine,1.2308033384920399e-08
DE1 0,photocatalysis,4.46989830721299e-09
DE1 1,H2 Electrolysis,2.158491234135271e-08
DE1 1,H2 Fuel Cell,3.603809078872122e-09
DE1 1,H2 turbine,1.229773917582027e-08
DE1 1,photocatalysis,4.161832486848991e-09
DE1 10,H2 Electrolysis,1.5039076374014288e-08
DE1 10,H2 Fuel Cell,3.707096496604693e-09
DE1 10,H2 turbine,1.2446161753791358e-08
DE1 10,photocatalysis,4.158638066429139e-09
DE1 11,H2 Electrolysis,1.8036911896338314e-08
DE1 11,H2 Fuel Cell,3.5052070335999342e-09
DE1 11,H2 turbine,1.230816162885421e-08
DE1 11,photocatalysis,4.07317407723695e-09
DE1 12,H2 Electrolysis,0.1011765535030669
DE1 12,H2 Fuel Cell,3.501108696403745e-09
DE1 12,H2 turbine,1.2313945749329432e-08
DE1 12,photocatalysis,3.893069777350828e-09
DE1 13,H2 Electrolysis,1.609321912985453e-08
DE1 13,H2 Fuel Cell,3.6337648916089678e-09
DE1 13,H2 turbine,1.2309292504732922e-08
DE1 13,photocatalysis,4.664431061550179e-09
DE1 14,H2 Electrolysis,1.2592032184033497e-08
DE1 14,H2 Fuel Cell,3.6430608062479353e-09
DE1 14,H2 turbine,1.2310669076165074e-08
DE1 14,photocatalysis,4.622534972982365e-09
DE1 15,H2 Electrolysis,1.2749571177355658e-08
DE1 15,H2 Fuel Cell,3.642028061067479e-09
DE1 15,H2 turbine,1.2319060081401046e-08
DE1 15,photocatalysis,4.183827528918329e-09
DE1 16,H2 Electrolysis,1.5745426778146815e-08
DE1 16,H2 Fuel Cell,3.5152234499809513e-09
DE1 16,H2 turbine,1.2284116153848015e-08
DE1 16,photocatalysis,4.4700234389855075e-09
DE1 17,H2 Electrolysis,2.5148255527120855e-08
DE1 17,H2 Fuel Cell,3.647879219599578e-09
DE1 17,H2 turbine,1.2313624767788265e-08
DE1 17,photocatalysis,4.795522824593296e-09
DE1 18,H2 Electrolysis,1.4664163750661374e-08
DE1 18,H2 Fuel Cell,3.6752612876376422e-09
DE1 18,H2 turbine,1.2317279932366727e-08
DE1 18,photocatalysis,4.394752566960905e-09
DE1 19,H2 Electrolysis,2.2690100760790824e-08
DE1 19,H2 Fuel Cell,3.628203854792381e-09
DE1 19,H2 turbine,1.232018634355486e-08
DE1 19,photocatalysis,4.061983852717166e-09
