bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,7.990678637623719e-08
AL1 0,H2 Fuel Cell,5.031159371928515e-09
AL1 0,H2 turbine,1.855824578903615e-08
AL1 0,photocatalysis,1.0758277966833681e-08
AT1 0,H2 Electrolysis,2.654443434524808e-08
AT1 0,H2 Fuel Cell,5.758693662855834e-09
AT1 0,H2 turbine,2.1244300294982686e-08
AT1 0,photocatalysis,5.46472578664012e-09
AT1 1,H2 Electrolysis,1.0674809359164505e-07
AT1 1,H2 Fuel Cell,5.486800546832594e-09
AT1 1,H2 turbine,2.0471725240040973e-08
AT1 1,photocatalysis,5.2906037611258905e-09
AT1 2,H2 Electrolysis,2.8230348755556513e-08
AT1 2,H2 Fuel Cell,5.78673244819222e-09
AT1 2,H2 turbine,2.119418365896672e-08
AT1 2,photocatalysis,5.3593137296857976e-09
BA1 0,H2 Electrolysis,5.304946915933262e-08
BA1 0,H2 Fuel Cell,5.26539310686529e-09
BA1 0,H2 turbine,1.8576948583638905e-08
BA1 0,photocatalysis,7.506099918169141e-09
BE1 0,H2 Electrolysis,0.017682718222625522
BE1 0,H2 Fuel Cell,5.481761029351402e-09
BE1 0,H2 turbine,2.720492605351962e-08
BE1 0,photocatalysis,4.811499086393618e-09
BE1 1,H2 Electrolysis,0.02090411084517381
BE1 1,H2 Fuel Cell,5.612123919587613e-09
BE1 1,H2 turbine,2.635514674073916e-08
BE1 1,photocatalysis,4.6701759689098795e-09
BE1 2,H2 Electrolysis,2.7833114622877026e-07
BE1 2,H2 Fuel Cell,5.825040241096307e-09
BE1 2,H2 turbine,3.33432284402377e-08
BE1 2,photocatalysis,4.806448432995601e-09
BE1 3,H2 Electrolysis,0.0052393412217158035
BE1 3,H2 Fuel Cell,5.679980991745142e-09
BE1 3,H2 turbine,2.9332463111972134e-08
BE1 3,photocatalysis,4.748222463544385e-09
BG1 0,H2 Electrolysis,0.0004035800671171986
BG1 0,H2 Fuel Cell,5.051541951893764e-09
BG1 0,H2 turbine,1.9517107792712843e-08
BG1 0,photocatalysis,7.664625401701227e-09
CH1 0,H2 Electrolysis,5.538850347515405e-08
CH1 0,H2 Fuel Cell,5.312661315586228e-09
CH1 0,H2 turbine,1.863511637505759e-08
CH1 0,photocatalysis,5.501766699027977e-09
CH1 1,H2 Electrolysis,3.527764511936971e-08
CH1 1,H2 Fuel Cell,5.245523474116012e-09
CH1 1,H2 turbine,1.8603313403104047e-08
CH1 1,photocatalysis,5.965887121162145e-09
CZ1 0,H2 Electrolysis,2.1519641776848345e-08
CZ1 0,H2 Fuel Cell,6.3013644549198875e-09
CZ1 0,H2 turbine,2.4529721682882643e-08
CZ1 0,photocatalysis,4.800355450321149e-09
CZ1 1,H2 Electrolysis,2.9053499082283685e-08
CZ1 1,H2 Fuel Cell,6.143985324960296e-09
CZ1 1,H2 turbine,2.4168981716510984e-08
CZ1 1,photocatalysis,4.781610976756961e-09
CZ1 2,H2 Electrolysis,1.8353660026747985e-08
CZ1 2,H2 Fuel Cell,6.467640196224018e-09
CZ1 2,H2 turbine,2.494025702305485e-08
CZ1 2,photocatalysis,4.638419447044443e-09
DE1 0,H2 Electrolysis,2.57357678314302e-08
DE1 0,H2 Fuel Cell,5.836634974163311e-09
DE1 0,H2 turbine,2.6955126111045096e-08
DE1 0,photocatalysis,4.9883315662415395e-09
DE1 1,H2 Electrolysis,4.411674645370508e-08
DE1 1,H2 Fuel Cell,5.795208210362946e-09
DE1 1,H2 turbine,2.592349645364269e-08
DE1 1,photocatalysis,4.645825506606287e-09
DE1 10,H2 Electrolysis,2.5335856360600054e-08
DE1 10,H2 Fuel Cell,6.222816643997363e-09
DE1 10,H2 turbine,2.7350321587922773e-08
DE1 10,photocatalysis,4.688475784296959e-09
DE1 11,H2 Electrolysis,3.188625924691176e-08
DE1 11,H2 Fuel Cell,5.723643589904879e-09
DE1 11,H2 turbine,2.6720736360471907e-08
DE1 11,photocatalysis,4.517490726254606e-09
DE1 12,H2 Electrolysis,0.11987506194513624
DE1 12,H2 Fuel Cell,5.690780216601485e-09
DE1 12,H2 turbine,2.6186483660155028e-08
DE1 12,photocatalysis,4.075662594293835e-09
DE1 13,H2 Electrolysis,3.037697296856946e-08
DE1 13,H2 Fuel Cell,5.760314374633553e-09
DE1 13,H2 turbine,2.468949001787812e-08
DE1 13,photocatalysis,5.204740209934877e-09
DE1 14,H2 Electrolysis,2.2773204118852844e-08
DE1 14,H2 Fuel Cell,5.771209780994367e-09
DE1 14,H2 turbine,2.5312333811692392e-08
DE1 14,photocatalysis,5.205854424326721e-09
DE1 15,H2 Electrolysis,2.044546142625054e-08
DE1 15,H2 Fuel Cell,5.88863321286203e-09
DE1 15,H2 turbine,2.5690615204301837e-08
DE1 15,photocatalysis,4.704794320421695e-09
DE1 16,H2 Electrolysis,2.8591359867067612e-08
DE1 16,H2 Fuel Cell,5.729020191168808e-09
DE1 16,H2 turbine,2.58060599131693e-08
DE1 16,photocatalysis,4.9364402640518035e-09
DE1 17,H2 Electrolysis,1.0752796577054864e-07
DE1 17,H2 Fuel Cell,5.727709737381761e-09
DE1 17,H2 turbine,2.319974462996448e-08
DE1 17,photocatalysis,5.353308543126478e-09
DE1 18,H2 Electrolysis,2.665356987103217e-08
DE1 18,H2 Fuel Cell,5.8633471656266825e-09
DE1 18,H2 turbine,2.444157042218145e-08
DE1 18,photocatalysis,4.93004404912621e-09
DE1 19,H2 Electrolysis,3.883662465654803e-08
DE1 19,H2 Fuel Cell,5.906854538553824e-09
DE1 19,H2 turbine,2.602758112237139e-08
DE1 19,photocatalysis,4.532024118436817e-09
DE1 2,H2 Electrolysis,2.4623550773808486e-08
DE1 2,H2 Fuel Cell,5.72661383149225e-09
