bus0,carrier,p_nom_opt
AL1 0,H2 Electrolysis,6.168464860289252e-05
AL1 0,H2 Fuel Cell,5.2504778272686756e-09
AL1 0,H2 turbine,1.8097131737914545e-08
AL1 0,photocatalysis,9.486128855110115e-09
AT1 0,H2 Electrolysis,4.5275573030095816e-08
AT1 0,H2 Fuel Cell,7.53666378376205e-09
AT1 0,H2 turbine,2.317227750294577e-08
AT1 0,photocatalysis,5.085898491876867e-09
AT1 1,H2 Electrolysis,1.9643076585166753e-07
AT1 1,H2 Fuel Cell,6.431264088867664e-09
AT1 1,H2 turbine,2.4100262737816977e-08
AT1 1,photocatalysis,5.401903798691213e-09
AT1 2,H2 Electrolysis,4.9529483161664435e-08
AT1 2,H2 Fuel Cell,7.493420118174412e-09
AT1 2,H2 turbine,2.366561810370456e-08
AT1 2,photocatalysis,5.1561039458990445e-09
BA1 0,H2 Electrolysis,1.042155595573235e-07
BA1 0,H2 Fuel Cell,5.8735770677637e-09
BA1 0,H2 turbine,1.8149837566504507e-08
BA1 0,photocatalysis,6.91212657137113e-09
BE1 0,H2 Electrolysis,0.017876948384851283
BE1 0,H2 Fuel Cell,5.941295996486885e-09
BE1 0,H2 turbine,4.506111726396613e-08
BE1 0,photocatalysis,4.944744266847944e-09
BE1 1,H2 Electrolysis,0.031160362554670067
BE1 1,H2 Fuel Cell,6.4013653211576194e-09
BE1 1,H2 turbine,4.176726906212365e-08
BE1 1,photocatalysis,4.810625880020653e-09
BE1 2,H2 Electrolysis,2.721501559311185e-07
BE1 2,H2 Fuel Cell,6.854031086754053e-09
BE1 2,H2 turbine,8.062765451708687e-08
BE1 2,photocatalysis,4.938673867010427e-09
BE1 3,H2 Electrolysis,0.005246006732671203
BE1 3,H2 Fuel Cell,6.427571735398074e-09
BE1 3,H2 turbine,5.665456312503444e-08
BE1 3,photocatalysis,4.8818567690699394e-09
BG1 0,H2 Electrolysis,0.007646227103313832
BG1 0,H2 Fuel Cell,5.463326588604353e-09
BG1 0,H2 turbine,1.9102503892761235e-08
BG1 0,photocatalysis,8.613862151990006e-09
CH1 0,H2 Electrolysis,7.372325306128479e-08
CH1 0,H2 Fuel Cell,6.271977562234818e-09
CH1 0,H2 turbine,1.967206437391754e-08
CH1 0,photocatalysis,5.216323871215873e-09
CH1 1,H2 Electrolysis,5.0542692963106444e-08
CH1 1,H2 Fuel Cell,5.9899302351391e-09
CH1 1,H2 turbine,1.9216235002832968e-08
CH1 1,photocatalysis,6.029647500535586e-09
CZ1 0,H2 Electrolysis,4.663857251875623e-08
CZ1 0,H2 Fuel Cell,9.535881877952299e-09
CZ1 0,H2 turbine,3.969340715217869e-08
CZ1 0,photocatalysis,4.576574207278325e-09
CZ1 1,H2 Electrolysis,0.008267267094854449
CZ1 1,H2 Fuel Cell,8.753558867162369e-09
CZ1 1,H2 turbine,4.097297487713848e-08
CZ1 1,photocatalysis,4.893931959877618e-09
CZ1 2,H2 Electrolysis,3.391203501296577e-08
CZ1 2,H2 Fuel Cell,9.937305646321474e-09
CZ1 2,H2 turbine,4.307641099755825e-08
CZ1 2,photocatalysis,3.905638718411118e-09
DE1 0,H2 Electrolysis,3.604707208780504e-08
DE1 0,H2 Fuel Cell,7.496365599181848e-09
DE1 0,H2 turbine,4.503767248794775e-08
DE1 0,photocatalysis,5.108840738645013e-09
DE1 1,H2 Electrolysis,1.3421763615117595e-07
DE1 1,H2 Fuel Cell,7.09805361798328e-09
DE1 1,H2 turbine,3.980576515240206e-08
DE1 1,photocatalysis,4.793510167672464e-09
DE1 10,H2 Electrolysis,4.543826253265911e-08
DE1 10,H2 Fuel Cell,9.119684339630903e-09
DE1 10,H2 turbine,7.318747996677726e-08
DE1 10,photocatalysis,4.840394153503356e-09
DE1 11,H2 Electrolysis,4.631626950105389e-08
DE1 11,H2 Fuel Cell,6.830967320757514e-09
DE1 11,H2 turbine,4.3170337842152046e-08
DE1 11,photocatalysis,4.663744381107082e-09
DE1 12,H2 Electrolysis,0.1186852937069698
DE1 12,H2 Fuel Cell,6.502461902423022e-09
DE1 12,H2 turbine,3.921807362288559e-08
DE1 12,photocatalysis,3.731584036891671e-09
DE1 13,H2 Electrolysis,4.143662317390499e-08
DE1 13,H2 Fuel Cell,7.231710508342683e-09
DE1 13,H2 turbine,3.387738841638959e-08
DE1 13,photocatalysis,5.1897419610975925e-09
DE1 14,H2 Electrolysis,2.7788096371299964e-08
DE1 14,H2 Fuel Cell,7.328630304082496e-09
DE1 14,H2 turbine,3.7944640842958306e-08
DE1 14,photocatalysis,5.322198536215868e-09
DE1 15,H2 Electrolysis,3.341215486841689e-08
DE1 15,H2 Fuel Cell,7.831637397638916e-09
DE1 15,H2 turbine,3.6933285937505806e-08
DE1 15,photocatalysis,4.853937645567258e-09
DE1 16,H2 Electrolysis,5.7068901114929055e-08
DE1 16,H2 Fuel Cell,6.911713952800134e-09
DE1 16,H2 turbine,4.4449509299879405e-08
DE1 16,photocatalysis,5.068691574696175e-09
DE1 17,H2 Electrolysis,0.001564499730302973
DE1 17,H2 Fuel Cell,6.996842476777666e-09
DE1 17,H2 turbine,3.014431123454416e-08
DE1 17,photocatalysis,5.44828719074353e-09
DE1 18,H2 Electrolysis,3.807078144051075e-08
DE1 18,H2 Fuel Cell,7.546313335359624e-09
DE1 18,H2 turbine,3.388884237815429e-08
DE1 18,photocatalysis,5.054668469799817e-09
DE1 19,H2 Electrolysis,7.758484882317139e-08
DE1 19,H2 Fuel Cell,7.527808832311286e-09
DE1 19,H2 turbine,3.9999009974562796e-08
DE1 19,photocatalysis,4.48999516886104e-09
DE1 2,H2 Electrolysis,3.65038577707365e-08
DE1 2,H2 Fuel Cell,7.736681457966977e-09
DE1 2,H2 turbine,4.482825791842836e-08
DE1 2,photocatalysis,4.760003654810659e-09
DE1 20,H2 Electrolysis,3.932145149135785e-08
DE1 20,H2 Fuel Cell,7.334866191087483e-09
DE1 20,H2 turbine,4.4772923416007095e-08
DE1 20,photocatalysis,4.7055488628726254e-09
DE1 21,H2 Electrolysis,0.0165718752846003
DE1 21,H2 Fuel Cell,6.019232152829571e-09
DE1 21,H2 turbine,3.492612189024567e-08
DE1 21,photocatalysis,4.449016985093463e-09
DE1 22,H2 Electrolysis,3.7537399369403144e-08
DE1 22,H2 Fuel Cell,7.0204322627179456e-09
DE1 22,H2 turbine,3.656740987936678e-08
DE1 22,photocatalysis,5.185488232614556e-09
DE1 3,H2 Electrolysis,6.17375606701574e-08
DE1 3,H2 Fuel Cell,7.52405616245739e-09
DE1 3,H2 turbine,3.172297274085123e-08
DE1 3,photocatalysis,5.172975299368402e-09
DE1 4,H2 Electrolysis,6.035479655061586e-08
DE1 4,H2 Fuel Cell,8.792013601914728e-09
DE1 4,H2 turbine,6.144465525598348e-08
DE1 4,photocatalysis,4.805214764889022e-09
DE1 5,H2 Electrolysis,0.11083210418534735
DE1 5,H2 Fuel Cell,6.638148838333742e-09
DE1 5,H2 turbine,4.539074854018452e-08
DE1 5,photocatalysis,3.8521119350744734e-09
DE1 6,H2 Electrolysis,3.193931074555977e-08
DE1 6,H2 Fuel Cell,5.774981176329282e-09
DE1 6,H2 turbine,2.0423569243708528e-08
DE1 6,photocatalysis,5.586534810789965e-09
DE1 7,H2 Electrolysis,3.0320410424017744e-07
DE1 7,H2 Fuel Cell,8.210822385567443e-09
DE1 7,H2 turbine,4.117685412652766e-08
DE1 7,photocatalysis,4.661027725316448e-09
